,manufacturerTitle,avg_retailer_price,avg_manufacturer_price,price_variation,availability_rate,price_variation_rate,price_difference,max_price,min_price,num_unavailable
65,Máquina de Lavar Brastemp 14Kg Branca com Ciclo Antibolinha Ciclo Edredom Ciclo Tira Manchas Advanced BWK14AB 220V,2431.7291304347823,1999.0,432.72913043478246,0.8518518518518519,0.21647280161820026,432.72913043478246,2499.99,2049.99,104
66,Máquina de Lavar Consul 12Kg com Ciclo Edredom Dual Dispenser Dosagem Extra Econômica CWH12AB 110V,1912.2122222222222,2099.0,-186.7877777777778,0.9310344827586207,0.08898893653062304,-186.7877777777778,2009.99,1749.99,98
67,Máquina de Lavar Consul 12Kg com Ciclo Edredom Dual Dispenser Dosagem Extra Econômica CWH12AB 220V,1912.5825925925926,1649.0,263.5825925925926,0.9310344827586207,0.15984390090515016,263.5825925925926,2009.99,1749.99,74
68,Pilha Alcalina Elgin AA Cartela com 4 unds,17.916071428571428,7.67,10.246071428571428,0.9655172413793104,1.3358632892531195,10.246071428571428,19.9,8.99,8
69,Pilha Alcalina Elgin D Cartela com 2 unds,17.541724137931034,20.001724137931035,-2.4600000000000017,1.0,0.15282722802335844,-2.4600000000000017,19.99,14.99,0
70,Pilha Recarregável Elgin AA-2500 mAh Cartela com 4 unds,60.50724137931035,59.99379310344828,0.5134482758620657,1.0,0.19366487496608079,0.5134482758620657,64.99,44.99,0
71,Pilha Recarregável Elgin AAA-900 mAh Cartela com 4 unds,21.990000000000002,55.56142857142857,-33.57142857142858,0.7241379310344828,0.4971840981122052,-33.57142857142858,21.99,21.99,168
72,Refletor Projetor Led 10W 6500K IP65 Preto Elgin,29.989999999999995,27.2,2.789999999999999,0.10344827586206896,0.10257352941176467,2.789999999999999,29.99,29.99,78
73,Refletor Projetor Led 20W Inteligente Elgin Wi-Fi Color RGB Compatível com Alexa,385.8233333333333,249.9,135.92333333333332,1.0,0.5439108976924101,135.92333333333332,399.99,314.99,0
74,Refletor Projetor Led 50W 6500K IP65 Preto Elgin,64.47275862068965,59.9,4.572758620689652,1.0,0.08774969777214892,4.572758620689652,64.99,49.99,0
75,Refletor Projetor Led 50W Inteligente Elgin Wi-Fi Color RGBW Compatível com Alexa,501.6566666666667,329.9,171.75666666666672,1.0,0.5206325149035061,171.75666666666672,529.99,359.99,0
